
0700指令参数1：敌人组合，空的栏位指战斗中有可能增加敌人
以下数据取自data.mkf
结构：每10一个记录，顺序排列，0xffff即空

(0000)8E01 史莱姆　|8E01 史莱姆　|无 　　　　　|无 　　　　　|无 　　　　　
(1701)E401 食人兽　|E401 食人兽　|无 　　　　　|无 　　　　　|无 　　　　　
(1801)E401 食人兽　|ED01 青兽人　|无 　　　　　|无 　　　　　|无 　　　　　
(1901)E401 食人兽　|E401 食人兽　|E401 食人兽　|无 　　　　　|无 　　　　　
(1A01)ED01 青兽人　|ED01 青兽人　|无 　　　　　|无 　　　　　|无 　　　　　
(1B01)EC01 五毒蜈蚣|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1C01)EA01 五毒巨蝎|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1D01)B601 魔兽武士|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1E01)D301 瘟神　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(1F01)D201 牛鬼　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2001)D701 玩蛇女　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2101)1002 巫王侍卫|1002 巫王侍卫|无 　　　　　|无 　　　　　|无 　　　　　
(2201)0A02 黑巫师　|空的 　　　　|空的 　　　　|空的 　　　　|0A02 黑巫师　
(2301)0A02 黑巫师　|1002 巫王侍卫|无 　　　　　|无 　　　　　|无 　　　　　
(2401)1002 巫王侍卫|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2501)1102 天鬼皇　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2601)9E01 镰刀鼬　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2701)空的 　　　　|A401 跳跳蛙　|空的 　　　　|空的 　　　　|空的 　　　　
(2801)DB01 剑护院　|DC01 锤护院　|无 　　　　　|无 　　　　　|无 　　　　　
(2901)DC01 锤护院　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2A01)DD01 小双钩　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2B01)E101 暗器手　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2C01)E901 老虎　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(2D01)E801 绿色小蛇|E801 绿色小蛇|无 　　　　　|无 　　　　　|无 　　　　　
(2E01)E801 绿色小蛇|E801 绿色小蛇|E801 绿色小蛇|E801 绿色小蛇|E801 绿色小蛇
(2F01)BD01 血云雾　|BD01 血云雾　|空的 　　　　|空的 　　　　|空的 　　　　
(3001)B701 连体妖　|空的 　　　　|BD01 血云雾　|无 　　　　　|无 　　　　　
(3101)1B02 毒神龙　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3201)1C02 金神龙　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3301)1D02 土神龙　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3401)1E02 火神龙　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3501)1F02 冰神龙　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3601)2002 风神龙　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3701)2102 雷神龙　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3801)F101 石长老1 |无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3901)空的 　　　　|2202 拜月教主|空的 　　　　|无 　　　　　|无 　　　　　
(3A01)B601 魔兽武士|B801 刑天　　|无 　　　　　|无 　　　　　|无 　　　　　
(3B01)2302 八头蛇　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(3C01)2402 苗人拳1 |2402 苗人拳1 |无 　　　　　|无 　　　　　|无 　　　　　
(3D01)2402 苗人拳1 |E501 胖苗　　|2402 苗人拳1 |无 　　　　　|无 　　　　　
(3E01)2502 苗枪卒1 |2502 苗枪卒1 |2502 苗枪卒1 |无 　　　　　|无 　　　　　
(3F01)E501 胖苗　　|2502 苗枪卒1 |无 　　　　　|无 　　　　　|无 　　　　　
(4001)EC01 五毒蜈蚣|空的 　　　　|EC01 五毒蜈蚣|无 　　　　　|无 　　　　　
(4101)EA01 五毒巨蝎|空的 　　　　|EA01 五毒巨蝎|无 　　　　　|无 　　　　　
(4201)EC01 五毒蜈蚣|空的 　　　　|EA01 五毒巨蝎|无 　　　　　|无 　　　　　
(4301)EA01 五毒巨蝎|空的 　　　　|0402 小毒蝎　|空的 　　　　|EC01 五毒蜈蚣
(4401)D101 金蟾　　|空的 　　　　|EC01 五毒蜈蚣|无 　　　　　|无 　　　　　
(4501)D101 金蟾　　|空的 　　　　|EA01 五毒巨蝎|无 　　　　　|无 　　　　　
(4601)EA01 五毒巨蝎|空的 　　　　|D101 金蟾　　|无 　　　　　|无 　　　　　
(4701)EC01 五毒蜈蚣|空的 　　　　|D101 金蟾　　|无 　　　　　|无 　　　　　
(4801)0402 小毒蝎　|EA01 五毒巨蝎|0402 小毒蝎　|无 　　　　　|无 　　　　　
(4901)0502 赤蜈蚣　|EA01 五毒巨蝎|0502 赤蜈蚣　|无 　　　　　|无 　　　　　
(4A01)F201 黑蜘蛛精|空的 　　　　|0202 五彩蜘蛛|无 　　　　　|无 　　　　　
(4B01)1802 土蜘蛛　|空的 　　　　|0202 五彩蜘蛛|无 　　　　　|无 　　　　　
(4C01)F201 黑蜘蛛精|空的 　　　　|9C01 小蜘蛛　|无 　　　　　|无 　　　　　
(4D01)1802 土蜘蛛　|空的 　　　　|9C01 小蜘蛛　|无 　　　　　|无 　　　　　
(4E01)9C01 小蜘蛛　|F201 黑蜘蛛精|9C01 小蜘蛛　|无 　　　　　|无 　　　　　
(4F01)F201 黑蜘蛛精|空的 　　　　|F201 黑蜘蛛精|无 　　　　　|无 　　　　　
(5001)F201 黑蜘蛛精|空的 　　　　|1802 土蜘蛛　|无 　　　　　|无 　　　　　
(5101)D101 金蟾　　|空的 　　　　|1802 土蜘蛛　|无 　　　　　|无 　　　　　
(5201)1802 土蜘蛛　|空的 　　　　|EA01 五毒巨蝎|无 　　　　　|无 　　　　　
(5301)EC01 五毒蜈蚣|空的 　　　　|1802 土蜘蛛　|无 　　　　　|无 　　　　　
(5401)EB01 五毒巨蛇|空的 　　　　|0802 九头蛇　|无 　　　　　|无 　　　　　
(5501)EB01 五毒巨蛇|空的 　　　　|2602 紫九头蛇|无 　　　　　|无 　　　　　
(5601)0602 食火蟾　|空的 　　　　|D101 金蟾　　|0602 食火蟾　|无 　　　　　
(5701)0602 食火蟾　|空的 　　　　|D101 金蟾　　|无 　　　　　|无 　　　　　
(5801)1A02 蓝食火蟾|空的 　　　　|D101 金蟾　　|1902 绿食火蟾|无 　　　　　
(5901)1902 绿食火蟾|空的 　　　　|D101 金蟾　　|1902 绿食火蟾|无 　　　　　
(5A01)1A02 蓝食火蟾|空的 　　　　|D101 金蟾　　|1A02 蓝食火蟾|无 　　　　　
(5B01)D101 金蟾　　|空的 　　　　|D101 金蟾　　|无 　　　　　|无 　　　　　
(5C01)2602 紫九头蛇|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(5D01)0802 九头蛇　|空的 　　　　|0802 九头蛇　|无 　　　　　|无 　　　　　
(5E01)2602 紫九头蛇|空的 　　　　|2602 紫九头蛇|无 　　　　　|无 　　　　　
(5F01)EC01 五毒蜈蚣|EC01 五毒蜈蚣|EC01 五毒蜈蚣|无 　　　　　|无 　　　　　
(6001)0402 小毒蝎　|0402 小毒蝎　|0402 小毒蝎　|空的 　　　　|EA01 五毒巨蝎
(6101)0202 五彩蜘蛛|F201 黑蜘蛛精|0202 五彩蜘蛛|0202 五彩蜘蛛|无 　　　　　
(6201)0202 五彩蜘蛛|1802 土蜘蛛　|0202 五彩蜘蛛|0202 五彩蜘蛛|无 　　　　　
(6301)9C01 小蜘蛛　|1802 土蜘蛛　|9C01 小蜘蛛　|空的 　　　　|0202 五彩蜘蛛
(6401)0402 小毒蝎　|EA01 五毒巨蝎|0402 小毒蝎　|空的 　　　　|0402 小毒蝎　
(6501)0802 九头蛇　|空的 　　　　|2602 紫九头蛇|无 　　　　　|无 　　　　　
(6601)1802 土蜘蛛　|空的 　　　　|2602 紫九头蛇|无 　　　　　|无 　　　　　
(6701)EA01 五毒巨蝎|空的 　　　　|2602 紫九头蛇|无 　　　　　|无 　　　　　
(6801)EC01 五毒蜈蚣|空的 　　　　|2602 紫九头蛇|无 　　　　　|无 　　　　　
(6901)D101 金蟾　　|空的 　　　　|2602 紫九头蛇|无 　　　　　|无 　　　　　
(6A01)2602 紫九头蛇|空的 　　　　|D101 金蟾　　|无 　　　　　|无 　　　　　
(6B01)0502 赤蜈蚣　|EC01 五毒蜈蚣|0502 赤蜈蚣　|无 　　　　　|无 　　　　　
(6C01)0402 小毒蝎　|EC01 五毒蜈蚣|0402 小毒蝎　|无 　　　　　|无 　　　　　
(6D01)EA01 五毒巨蝎|空的 　　　　|EA01 五毒巨蝎|EA01 五毒巨蝎|无 　　　　　
(6E01)EA01 五毒巨蝎|空的 　　　　|EA01 五毒巨蝎|空的 　　　　|EC01 五毒蜈蚣
(6F01)EA01 五毒巨蝎|空的 　　　　|D101 金蟾　　|EA01 五毒巨蝎|无 　　　　　
(7001)EC01 五毒蜈蚣|空的 　　　　|D101 金蟾　　|EC01 五毒蜈蚣|无 　　　　　
(7101)EA01 五毒巨蝎|空的 　　　　|1802 土蜘蛛　|EC01 五毒蜈蚣|无 　　　　　
(7201)EA01 五毒巨蝎|空的 　　　　|EC01 五毒蜈蚣|0802 九头蛇　|无 　　　　　
(7301)EA01 五毒巨蝎|空的 　　　　|EC01 五毒蜈蚣|2602 紫九头蛇|无 　　　　　
(7401)1802 土蜘蛛　|空的 　　　　|1802 土蜘蛛　|空的 　　　　|EC01 五毒蜈蚣
(7501)EC01 五毒蜈蚣|空的 　　　　|2602 紫九头蛇|1802 土蜘蛛　|无 　　　　　
(7601)0202 五彩蜘蛛|D601 牡丹精　|无 　　　　　|无 　　　　　|无 　　　　　
(7701)0202 五彩蜘蛛|空的 　　　　|D601 牡丹精　|0202 五彩蜘蛛|无 　　　　　
(7801)9201 凤梨小妖|空的 　　　　|D601 牡丹精　|无 　　　　　|无 　　　　　
(7901)D501 狐狸精　|空的 　　　　|D601 牡丹精　|无 　　　　　|无 　　　　　
(7A01)D101 金蟾　　|无 　　　　　|无 　　　　　|无 　　　　　|无 　　　　　
(7B01)9201 凤梨小妖|9201 凤梨小妖|9201 凤梨小妖|无 　　　　　|无 　　　　　
(7C01)==========这个不知道====================
